Team,Stadium,Location,Capacity_raw,Season,Tier,Country,SourceURL,Capacity,City,GeoPlace,MapLabel
Coventry City,Coventry Building Society Arena,Coventry,32609,2024–25,2,England,https://en.wikipedia.org/wiki/2024–25_EFL_Championship,32609,Coventry,"Coventry Building Society Arena, Coventry, England",Coventry Building Society Arena (Coventry City) — Coventry
Derby County,Pride Park Stadium,Derby,32956,2024–25,2,England,https://en.wikipedia.org/wiki/2024–25_EFL_Championship,32956,Derby,"Pride Park Stadium, Derby, England",Pride Park Stadium (Derby County) — Derby
Hull City,MKM Stadium,Kingston upon Hull,25586,2024–25,2,England,https://en.wikipedia.org/wiki/2024–25_EFL_Championship,25586,Kingston upon Hull,"MKM Stadium, Kingston upon Hull, England",MKM Stadium (Hull City) — Kingston upon Hull
Leeds United,Elland Road,Leeds,37608,2024–25,2,England,https://en.wikipedia.org/wiki/2024–25_EFL_Championship,37608,Leeds,"Elland Road, Leeds, England",Elland Road (Leeds United) — Leeds
Luton Town,Kenilworth Road,Luton,12056,2024–25,2,England,https://en.wikipedia.org/wiki/2024–25_EFL_Championship,12056,Luton,"Kenilworth Road, Luton, England",Kenilworth Road (Luton Town) — Luton
Middlesbrough,Riverside Stadium,Middlesbrough,34742,2024–25,2,England,https://en.wikipedia.org/wiki/2024–25_EFL_Championship,34742,Middlesbrough,"Riverside Stadium, Middlesbrough, England",Riverside Stadium (Middlesbrough) — Middlesbrough
Millwall,The Den,London (Bermondsey),20146,2024–25,2,England,https://en.wikipedia.org/wiki/2024–25_EFL_Championship,20146,London (Bermondsey),"The Den, London (Bermondsey), England",The Den (Millwall) — London (Bermondsey)
Norwich City,Carrow Road,Norwich,27359,2024–25,2,England,https://en.wikipedia.org/wiki/2024–25_EFL_Championship,27359,Norwich,"Carrow Road, Norwich, England",Carrow Road (Norwich City) — Norwich
Oxford United,Kassam Stadium,Oxford,12500,2024–25,2,England,https://en.wikipedia.org/wiki/2024–25_EFL_Championship,12500,Oxford,"Kassam Stadium, Oxford, England",Kassam Stadium (Oxford United) — Oxford
Plymouth Argyle,Home Park,Plymouth,17900,2024–25,2,England,https://en.wikipedia.org/wiki/2024–25_EFL_Championship,17900,Plymouth,"Home Park, Plymouth, England",Home Park (Plymouth Argyle) — Plymouth
Portsmouth,Fratton Park,Portsmouth,20899,2024–25,2,England,https://en.wikipedia.org/wiki/2024–25_EFL_Championship,20899,Portsmouth,"Fratton Park, Portsmouth, England",Fratton Park (Portsmouth) — Portsmouth
Preston North End,Deepdale,Preston,23408,2024–25,2,England,https://en.wikipedia.org/wiki/2024–25_EFL_Championship,23408,Preston,"Deepdale, Preston, England",Deepdale (Preston North End) — Preston
Queens Park Rangers,Loftus Road,London (Shepherd's Bush),18439,2024–25,2,England,https://en.wikipedia.org/wiki/2024–25_EFL_Championship,18439,London (Shepherd's Bush),"Loftus Road, London (Shepherd's Bush), England",Loftus Road (Queens Park Rangers) — London (Shepherd's Bush)
Sheffield United,Bramall Lane,Sheffield (Highfield),32050,2024–25,2,England,https://en.wikipedia.org/wiki/2024–25_EFL_Championship,32050,Sheffield (Highfield),"Bramall Lane, Sheffield (Highfield), England",Bramall Lane (Sheffield United) — Sheffield (Highfield)
Sheffield Wednesday,Hillsborough Stadium,Sheffield (Hillsborough),39732,2024–25,2,England,https://en.wikipedia.org/wiki/2024–25_EFL_Championship,39732,Sheffield (Hillsborough),"Hillsborough Stadium, Sheffield (Hillsborough), England",Hillsborough Stadium (Sheffield Wednesday) — Sheffield (Hillsborough)
Stoke City,bet365 Stadium,Stoke-on-Trent,30089,2024–25,2,England,https://en.wikipedia.org/wiki/2024–25_EFL_Championship,30089,Stoke-on-Trent,"bet365 Stadium, Stoke-on-Trent, England",bet365 Stadium (Stoke City) — Stoke-on-Trent
Sunderland,Stadium of Light,Sunderland,49000,2024–25,2,England,https://en.wikipedia.org/wiki/2024–25_EFL_Championship,49000,Sunderland,"Stadium of Light, Sunderland, England",Stadium of Light (Sunderland) — Sunderland
Swansea City,Swansea.com Stadium,Swansea,21088,2024–25,2,England,https://en.wikipedia.org/wiki/2024–25_EFL_Championship,21088,Swansea,"Swansea.com Stadium, Swansea, England",Swansea.com Stadium (Swansea City) — Swansea
Watford,Vicarage Road,Watford,22200,2024–25,2,England,https://en.wikipedia.org/wiki/2024–25_EFL_Championship,22200,Watford,"Vicarage Road, Watford, England",Vicarage Road (Watford) — Watford
West Bromwich Albion,The Hawthorns,West Bromwich,26850,2024–25,2,England,https://en.wikipedia.org/wiki/2024–25_EFL_Championship,26850,West Bromwich,"The Hawthorns, West Bromwich, England",The Hawthorns (West Bromwich Albion) — West Bromwich
Barnsley,Oakwell,Barnsley,23009,2014–15,3,England,https://en.wikipedia.org/wiki/2014–15_Football_League_League_One,23009,Barnsley,"Oakwell, Barnsley, England",Oakwell (Barnsley) — Barnsley
Bradford City,Valley Parade,Bradford,25136,2014–15,3,England,https://en.wikipedia.org/wiki/2014–15_Football_League_League_One,25136,Bradford,"Valley Parade, Bradford, England",Valley Parade (Bradford City) — Bradford
Bristol City,Ashton Gate,Bristol,21497,2014–15,3,England,https://en.wikipedia.org/wiki/2014–15_Football_League_League_One,21497,Bristol,"Ashton Gate, Bristol, England",Ashton Gate (Bristol City) — Bristol
Chesterfield,Proact Stadium,Chesterfield,10504,2014–15,3,England,https://en.wikipedia.org/wiki/2014–15_Football_League_League_One,10504,Chesterfield,"Proact Stadium, Chesterfield, England",Proact Stadium (Chesterfield) — Chesterfield
Colchester United,Colchester Community Stadium,Colchester,10064,2014–15,3,England,https://en.wikipedia.org/wiki/2014–15_Football_League_League_One,10064,Colchester,"Colchester Community Stadium, Colchester, England",Colchester Community Stadium (Colchester United) — Colchester
Coventry City,Ricoh Arena,Coventry,32609,2014–15,3,England,https://en.wikipedia.org/wiki/2014–15_Football_League_League_One,32609,Coventry,"Ricoh Arena, Coventry, England",Ricoh Arena (Coventry City) — Coventry
Crawley Town,Broadfield Stadium,Crawley,5996,2014–15,3,England,https://en.wikipedia.org/wiki/2014–15_Football_League_League_One,5996,Crawley,"Broadfield Stadium, Crawley, England",Broadfield Stadium (Crawley Town) — Crawley
Crewe Alexandra,Alexandra Stadium,Crewe,10153,2014–15,3,England,https://en.wikipedia.org/wiki/2014–15_Football_League_League_One,10153,Crewe,"Alexandra Stadium, Crewe, England",Alexandra Stadium (Crewe Alexandra) — Crewe
Doncaster Rovers,Keepmoat Stadium,Doncaster,15231,2014–15,3,England,https://en.wikipedia.org/wiki/2014–15_Football_League_League_One,15231,Doncaster,"Keepmoat Stadium, Doncaster, England",Keepmoat Stadium (Doncaster Rovers) — Doncaster
Fleetwood Town,Highbury Stadium,Fleetwood,5327,2014–15,3,England,https://en.wikipedia.org/wiki/2014–15_Football_League_League_One,5327,Fleetwood,"Highbury Stadium, Fleetwood, England",Highbury Stadium (Fleetwood Town) — Fleetwood
Gillingham,Priestfield Stadium,Gillingham,11582,2014–15,3,England,https://en.wikipedia.org/wiki/2014–15_Football_League_League_One,11582,Gillingham,"Priestfield Stadium, Gillingham, England",Priestfield Stadium (Gillingham) — Gillingham
Leyton Orient,Brisbane Road,London (Leyton),9271,2014–15,3,England,https://en.wikipedia.org/wiki/2014–15_Football_League_League_One,9271,London (Leyton),"Brisbane Road, London (Leyton), England",Brisbane Road (Leyton Orient) — London (Leyton)
Milton Keynes Dons,Stadium mk,Milton Keynes,30500,2014–15,3,England,https://en.wikipedia.org/wiki/2014–15_Football_League_League_One,30500,Milton Keynes,"Stadium mk, Milton Keynes, England",Stadium mk (Milton Keynes Dons) — Milton Keynes
Notts County,Meadow Lane,Nottingham,21388,2014–15,3,England,https://en.wikipedia.org/wiki/2014–15_Football_League_League_One,21388,Nottingham,"Meadow Lane, Nottingham, England",Meadow Lane (Notts County) — Nottingham
Oldham Athletic,Boundary Park,Oldham,10638,2014–15,3,England,https://en.wikipedia.org/wiki/2014–15_Football_League_League_One,10638,Oldham,"Boundary Park, Oldham, England",Boundary Park (Oldham Athletic) — Oldham
Peterborough United,Abax Stadium,Peterborough,16315,2014–15,3,England,https://en.wikipedia.org/wiki/2014–15_Football_League_League_One,16315,Peterborough,"Abax Stadium, Peterborough, England",Abax Stadium (Peterborough United) — Peterborough
Port Vale,Vale Park,Stoke-on-Trent,19052,2014–15,3,England,https://en.wikipedia.org/wiki/2014–15_Football_League_League_One,19052,Stoke-on-Trent,"Vale Park, Stoke-on-Trent, England",Vale Park (Port Vale) — Stoke-on-Trent
Preston North End,Deepdale,Preston,23408,2014–15,3,England,https://en.wikipedia.org/wiki/2014–15_Football_League_League_One,23408,Preston,"Deepdale, Preston, England",Deepdale (Preston North End) — Preston
Rochdale,Spotland Stadium,Rochdale,10249,2014–15,3,England,https://en.wikipedia.org/wiki/2014–15_Football_League_League_One,10249,Rochdale,"Spotland Stadium, Rochdale, England",Spotland Stadium (Rochdale) — Rochdale
Scunthorpe United,Glanford Park,Scunthorpe,9088,2014–15,3,England,https://en.wikipedia.org/wiki/2014–15_Football_League_League_One,9088,Scunthorpe,"Glanford Park, Scunthorpe, England",Glanford Park (Scunthorpe United) — Scunthorpe
Sheffield United,Bramall Lane,Sheffield,32702,2014–15,3,England,https://en.wikipedia.org/wiki/2014–15_Football_League_League_One,32702,Sheffield,"Bramall Lane, Sheffield, England",Bramall Lane (Sheffield United) — Sheffield
Swindon Town,County Ground,Swindon,15728,2014–15,3,England,https://en.wikipedia.org/wiki/2014–15_Football_League_League_One,15728,Swindon,"County Ground, Swindon, England",County Ground (Swindon Town) — Swindon
Walsall,Bescot Stadium,Walsall,11300,2014–15,3,England,https://en.wikipedia.org/wiki/2014–15_Football_League_League_One,11300,Walsall,"Bescot Stadium, Walsall, England",Bescot Stadium (Walsall) — Walsall
Yeovil Town,Huish Park,Yeovil,9565,2014–15,3,England,https://en.wikipedia.org/wiki/2014–15_Football_League_League_One,9565,Yeovil,"Huish Park, Yeovil, England",Huish Park (Yeovil Town) — Yeovil
AFC Wimbledon,Kingsmeadow,London (Kingston upon Thames),"4,850 (2,265 seated)",2016–17,3,England,https://en.wikipedia.org/wiki/2016–17_EFL_League_One,48502265,London (Kingston upon Thames),"Kingsmeadow, London (Kingston upon Thames), England",Kingsmeadow (AFC Wimbledon) — London (Kingston upon Thames)
Bolton Wanderers,Macron Stadium,Bolton,28723,2016–17,3,England,https://en.wikipedia.org/wiki/2016–17_EFL_League_One,28723,Bolton,"Macron Stadium, Bolton, England",Macron Stadium (Bolton Wanderers) — Bolton
Bradford City,Valley Parade,Bradford,25136,2016–17,3,England,https://en.wikipedia.org/wiki/2016–17_EFL_League_One,25136,Bradford,"Valley Parade, Bradford, England",Valley Parade (Bradford City) — Bradford
Bristol Rovers,Memorial Stadium,Bristol,12011,2016–17,3,England,https://en.wikipedia.org/wiki/2016–17_EFL_League_One,12011,Bristol,"Memorial Stadium, Bristol, England",Memorial Stadium (Bristol Rovers) — Bristol
Bury,Gigg Lane,Bury,11640,2016–17,3,England,https://en.wikipedia.org/wiki/2016–17_EFL_League_One,11640,Bury,"Gigg Lane, Bury, England",Gigg Lane (Bury) — Bury
Charlton Athletic,The Valley,London (Charlton),27111,2016–17,3,England,https://en.wikipedia.org/wiki/2016–17_EFL_League_One,27111,London (Charlton),"The Valley, London (Charlton), England",The Valley (Charlton Athletic) — London (Charlton)
Chesterfield,Proact Stadium,Chesterfield,10400,2016–17,3,England,https://en.wikipedia.org/wiki/2016–17_EFL_League_One,10400,Chesterfield,"Proact Stadium, Chesterfield, England",Proact Stadium (Chesterfield) — Chesterfield
Coventry City,Ricoh Arena,Coventry,32500,2016–17,3,England,https://en.wikipedia.org/wiki/2016–17_EFL_League_One,32500,Coventry,"Ricoh Arena, Coventry, England",Ricoh Arena (Coventry City) — Coventry
Fleetwood Town,Highbury Stadium,Fleetwood,"5,311 (2,701 seated)",2016–17,3,England,https://en.wikipedia.org/wiki/2016–17_EFL_League_One,53112701,Fleetwood,"Highbury Stadium, Fleetwood, England",Highbury Stadium (Fleetwood Town) — Fleetwood
Gillingham,Priestfield Stadium,Gillingham,11582,2016–17,3,England,https://en.wikipedia.org/wiki/2016–17_EFL_League_One,11582,Gillingham,"Priestfield Stadium, Gillingham, England",Priestfield Stadium (Gillingham) — Gillingham
Millwall,The Den,London (South Bermondsey),20146,2016–17,3,England,https://en.wikipedia.org/wiki/2016–17_EFL_League_One,20146,London (South Bermondsey),"The Den, London (South Bermondsey), England",The Den (Millwall) — London (South Bermondsey)
Milton Keynes Dons,Stadium:mk,Milton Keynes,30500,2016–17,3,England,https://en.wikipedia.org/wiki/2016–17_EFL_League_One,30500,Milton Keynes,"Stadium:mk, Milton Keynes, England",Stadium:mk (Milton Keynes Dons) — Milton Keynes
Northampton Town,Sixfields Stadium,Northampton,7798,2016–17,3,England,https://en.wikipedia.org/wiki/2016–17_EFL_League_One,7798,Northampton,"Sixfields Stadium, Northampton, England",Sixfields Stadium (Northampton Town) — Northampton
Oldham Athletic,Boundary Park,Oldham,13512,2016–17,3,England,https://en.wikipedia.org/wiki/2016–17_EFL_League_One,13512,Oldham,"Boundary Park, Oldham, England",Boundary Park (Oldham Athletic) — Oldham
Oxford United,Kassam Stadium,Oxford,12500,2016–17,3,England,https://en.wikipedia.org/wiki/2016–17_EFL_League_One,12500,Oxford,"Kassam Stadium, Oxford, England",Kassam Stadium (Oxford United) — Oxford
Peterborough United,ABAX Stadium,Peterborough,15314,2016–17,3,England,https://en.wikipedia.org/wiki/2016–17_EFL_League_One,15314,Peterborough,"ABAX Stadium, Peterborough, England",ABAX Stadium (Peterborough United) — Peterborough
Port Vale,Vale Park,Stoke-on-Trent,18947,2016–17,3,England,https://en.wikipedia.org/wiki/2016–17_EFL_League_One,18947,Stoke-on-Trent,"Vale Park, Stoke-on-Trent, England",Vale Park (Port Vale) — Stoke-on-Trent
Rochdale,Spotland Stadium,Rochdale,10249,2016–17,3,England,https://en.wikipedia.org/wiki/2016–17_EFL_League_One,10249,Rochdale,"Spotland Stadium, Rochdale, England",Spotland Stadium (Rochdale) — Rochdale
Scunthorpe United,Glanford Park,Scunthorpe,9088,2016–17,3,England,https://en.wikipedia.org/wiki/2016–17_EFL_League_One,9088,Scunthorpe,"Glanford Park, Scunthorpe, England",Glanford Park (Scunthorpe United) — Scunthorpe
Sheffield United,Bramall Lane,Sheffield,32702,2016–17,3,England,https://en.wikipedia.org/wiki/2016–17_EFL_League_One,32702,Sheffield,"Bramall Lane, Sheffield, England",Bramall Lane (Sheffield United) — Sheffield
Shrewsbury Town,New Meadow,Shrewsbury,9875,2016–17,3,England,https://en.wikipedia.org/wiki/2016–17_EFL_League_One,9875,Shrewsbury,"New Meadow, Shrewsbury, England",New Meadow (Shrewsbury Town) — Shrewsbury
Southend United,Roots Hall,Southend-on-Sea,12392,2016–17,3,England,https://en.wikipedia.org/wiki/2016–17_EFL_League_One,12392,Southend-on-Sea,"Roots Hall, Southend-on-Sea, England",Roots Hall (Southend United) — Southend-on-Sea
Swindon Town,County Ground,Swindon,15728,2016–17,3,England,https://en.wikipedia.org/wiki/2016–17_EFL_League_One,15728,Swindon,"County Ground, Swindon, England",County Ground (Swindon Town) — Swindon
Walsall,Bescot Stadium,Walsall,11300,2016–17,3,England,https://en.wikipedia.org/wiki/2016–17_EFL_League_One,11300,Walsall,"Bescot Stadium, Walsall, England",Bescot Stadium (Walsall) — Walsall
AFC Wimbledon,Kingsmeadow,London (Kingston upon Thames),4850,2017–18,3,England,https://en.wikipedia.org/wiki/2017–18_EFL_League_One,4850,London (Kingston upon Thames),"Kingsmeadow, London (Kingston upon Thames), England",Kingsmeadow (AFC Wimbledon) — London (Kingston upon Thames)
Blackburn Rovers,Ewood Park,Blackburn,31367,2017–18,3,England,https://en.wikipedia.org/wiki/2017–18_EFL_League_One,31367,Blackburn,"Ewood Park, Blackburn, England",Ewood Park (Blackburn Rovers) — Blackburn
Blackpool,Bloomfield Road,Blackpool,17338,2017–18,3,England,https://en.wikipedia.org/wiki/2017–18_EFL_League_One,17338,Blackpool,"Bloomfield Road, Blackpool, England",Bloomfield Road (Blackpool) — Blackpool
Bradford City,Valley Parade,Bradford,25136,2017–18,3,England,https://en.wikipedia.org/wiki/2017–18_EFL_League_One,25136,Bradford,"Valley Parade, Bradford, England",Valley Parade (Bradford City) — Bradford
Bristol Rovers,Memorial Stadium,Bristol,12300,2017–18,3,England,https://en.wikipedia.org/wiki/2017–18_EFL_League_One,12300,Bristol,"Memorial Stadium, Bristol, England",Memorial Stadium (Bristol Rovers) — Bristol
Bury,Gigg Lane,Bury,11840,2017–18,3,England,https://en.wikipedia.org/wiki/2017–18_EFL_League_One,11840,Bury,"Gigg Lane, Bury, England",Gigg Lane (Bury) — Bury
Charlton Athletic,The Valley,London (Charlton),27111,2017–18,3,England,https://en.wikipedia.org/wiki/2017–18_EFL_League_One,27111,London (Charlton),"The Valley, London (Charlton), England",The Valley (Charlton Athletic) — London (Charlton)
Doncaster Rovers,Keepmoat Stadium,Doncaster,15231,2017–18,3,England,https://en.wikipedia.org/wiki/2017–18_EFL_League_One,15231,Doncaster,"Keepmoat Stadium, Doncaster, England",Keepmoat Stadium (Doncaster Rovers) — Doncaster
Fleetwood Town,Highbury Stadium,Fleetwood,5311,2017–18,3,England,https://en.wikipedia.org/wiki/2017–18_EFL_League_One,5311,Fleetwood,"Highbury Stadium, Fleetwood, England",Highbury Stadium (Fleetwood Town) — Fleetwood
Gillingham,Priestfield Stadium,Gillingham,11582,2017–18,3,England,https://en.wikipedia.org/wiki/2017–18_EFL_League_One,11582,Gillingham,"Priestfield Stadium, Gillingham, England",Priestfield Stadium (Gillingham) — Gillingham
Milton Keynes Dons,Stadium MK,Milton Keynes,30500,2017–18,3,England,https://en.wikipedia.org/wiki/2017–18_EFL_League_One,30500,Milton Keynes,"Stadium MK, Milton Keynes, England",Stadium MK (Milton Keynes Dons) — Milton Keynes
Northampton Town,Sixfields Stadium,Northampton,7653,2017–18,3,England,https://en.wikipedia.org/wiki/2017–18_EFL_League_One,7653,Northampton,"Sixfields Stadium, Northampton, England",Sixfields Stadium (Northampton Town) — Northampton
Oldham Athletic,Boundary Park,Oldham,13512,2017–18,3,England,https://en.wikipedia.org/wiki/2017–18_EFL_League_One,13512,Oldham,"Boundary Park, Oldham, England",Boundary Park (Oldham Athletic) — Oldham
Oxford United,Kassam Stadium,Oxford,12500,2017–18,3,England,https://en.wikipedia.org/wiki/2017–18_EFL_League_One,12500,Oxford,"Kassam Stadium, Oxford, England",Kassam Stadium (Oxford United) — Oxford
Peterborough United,ABAX Stadium,Peterborough,14084,2017–18,3,England,https://en.wikipedia.org/wiki/2017–18_EFL_League_One,14084,Peterborough,"ABAX Stadium, Peterborough, England",ABAX Stadium (Peterborough United) — Peterborough
Plymouth Argyle,Home Park,Plymouth,19500,2017–18,3,England,https://en.wikipedia.org/wiki/2017–18_EFL_League_One,19500,Plymouth,"Home Park, Plymouth, England",Home Park (Plymouth Argyle) — Plymouth
Portsmouth,Fratton Park,Portsmouth,21100,2017–18,3,England,https://en.wikipedia.org/wiki/2017–18_EFL_League_One,21100,Portsmouth,"Fratton Park, Portsmouth, England",Fratton Park (Portsmouth) — Portsmouth
Rochdale,Spotland Stadium,Rochdale,10500,2017–18,3,England,https://en.wikipedia.org/wiki/2017–18_EFL_League_One,10500,Rochdale,"Spotland Stadium, Rochdale, England",Spotland Stadium (Rochdale) — Rochdale
Rotherham United,New York Stadium,Rotherham,12021,2017–18,3,England,https://en.wikipedia.org/wiki/2017–18_EFL_League_One,12021,Rotherham,"New York Stadium, Rotherham, England",New York Stadium (Rotherham United) — Rotherham
Scunthorpe United,Glanford Park,Scunthorpe,9088,2017–18,3,England,https://en.wikipedia.org/wiki/2017–18_EFL_League_One,9088,Scunthorpe,"Glanford Park, Scunthorpe, England",Glanford Park (Scunthorpe United) — Scunthorpe
Shrewsbury Town,New Meadow,Shrewsbury,9875,2017–18,3,England,https://en.wikipedia.org/wiki/2017–18_EFL_League_One,9875,Shrewsbury,"New Meadow, Shrewsbury, England",New Meadow (Shrewsbury Town) — Shrewsbury
Southend United,Roots Hall,Southend,12392,2017–18,3,England,https://en.wikipedia.org/wiki/2017–18_EFL_League_One,12392,Southend,"Roots Hall, Southend, England",Roots Hall (Southend United) — Southend
Walsall,Bescot Stadium,Walsall,11300,2017–18,3,England,https://en.wikipedia.org/wiki/2017–18_EFL_League_One,11300,Walsall,"Bescot Stadium, Walsall, England",Bescot Stadium (Walsall) — Walsall
Wigan Athletic,DW Stadium,Wigan,25133,2017–18,3,England,https://en.wikipedia.org/wiki/2017–18_EFL_League_One,25133,Wigan,"DW Stadium, Wigan, England",DW Stadium (Wigan Athletic) — Wigan
Accrington Stanley,Crown Ground,Accrington,5057,2018–19,3,England,https://en.wikipedia.org/wiki/2018–19_EFL_League_One,5057,Accrington,"Crown Ground, Accrington, England",Crown Ground (Accrington Stanley) — Accrington
AFC Wimbledon,Kingsmeadow,London (Kingston upon Thames),4850,2018–19,3,England,https://en.wikipedia.org/wiki/2018–19_EFL_League_One,4850,London (Kingston upon Thames),"Kingsmeadow, London (Kingston upon Thames), England",Kingsmeadow (AFC Wimbledon) — London (Kingston upon Thames)
Barnsley,Oakwell,Barnsley,23009,2018–19,3,England,https://en.wikipedia.org/wiki/2018–19_EFL_League_One,23009,Barnsley,"Oakwell, Barnsley, England",Oakwell (Barnsley) — Barnsley
Blackpool,Bloomfield Road,Blackpool,17338,2018–19,3,England,https://en.wikipedia.org/wiki/2018–19_EFL_League_One,17338,Blackpool,"Bloomfield Road, Blackpool, England",Bloomfield Road (Blackpool) — Blackpool
Bradford City,Valley Parade,Bradford,25136,2018–19,3,England,https://en.wikipedia.org/wiki/2018–19_EFL_League_One,25136,Bradford,"Valley Parade, Bradford, England",Valley Parade (Bradford City) — Bradford
Bristol Rovers,Memorial Stadium,Bristol,12300,2018–19,3,England,https://en.wikipedia.org/wiki/2018–19_EFL_League_One,12300,Bristol,"Memorial Stadium, Bristol, England",Memorial Stadium (Bristol Rovers) — Bristol
Burton Albion,Pirelli Stadium,Burton upon Trent,6912,2018–19,3,England,https://en.wikipedia.org/wiki/2018–19_EFL_League_One,6912,Burton upon Trent,"Pirelli Stadium, Burton upon Trent, England",Pirelli Stadium (Burton Albion) — Burton upon Trent
Charlton Athletic,The Valley,London (Charlton),27111,2018–19,3,England,https://en.wikipedia.org/wiki/2018–19_EFL_League_One,27111,London (Charlton),"The Valley, London (Charlton), England",The Valley (Charlton Athletic) — London (Charlton)
Coventry City,Ricoh Arena,Coventry,32609,2018–19,3,England,https://en.wikipedia.org/wiki/2018–19_EFL_League_One,32609,Coventry,"Ricoh Arena, Coventry, England",Ricoh Arena (Coventry City) — Coventry
Doncaster Rovers,Keepmoat Stadium,Doncaster,15231,2018–19,3,England,https://en.wikipedia.org/wiki/2018–19_EFL_League_One,15231,Doncaster,"Keepmoat Stadium, Doncaster, England",Keepmoat Stadium (Doncaster Rovers) — Doncaster
Fleetwood Town,Highbury Stadium,Fleetwood,5311,2018–19,3,England,https://en.wikipedia.org/wiki/2018–19_EFL_League_One,5311,Fleetwood,"Highbury Stadium, Fleetwood, England",Highbury Stadium (Fleetwood Town) — Fleetwood
Gillingham,Priestfield Stadium,Gillingham,11582,2018–19,3,England,https://en.wikipedia.org/wiki/2018–19_EFL_League_One,11582,Gillingham,"Priestfield Stadium, Gillingham, England",Priestfield Stadium (Gillingham) — Gillingham
Luton Town,Kenilworth Road,Luton,10336,2018–19,3,England,https://en.wikipedia.org/wiki/2018–19_EFL_League_One,10336,Luton,"Kenilworth Road, Luton, England",Kenilworth Road (Luton Town) — Luton
Oxford United,Kassam Stadium,Oxford,12500,2018–19,3,England,https://en.wikipedia.org/wiki/2018–19_EFL_League_One,12500,Oxford,"Kassam Stadium, Oxford, England",Kassam Stadium (Oxford United) — Oxford
Peterborough United,ABAX Stadium,Peterborough,15314,2018–19,3,England,https://en.wikipedia.org/wiki/2018–19_EFL_League_One,15314,Peterborough,"ABAX Stadium, Peterborough, England",ABAX Stadium (Peterborough United) — Peterborough
Plymouth Argyle,Home Park,Plymouth,"12,500*",2018–19,3,England,https://en.wikipedia.org/wiki/2018–19_EFL_League_One,12500,Plymouth,"Home Park, Plymouth, England",Home Park (Plymouth Argyle) — Plymouth
Portsmouth,Fratton Park,Portsmouth,21100,2018–19,3,England,https://en.wikipedia.org/wiki/2018–19_EFL_League_One,21100,Portsmouth,"Fratton Park, Portsmouth, England",Fratton Park (Portsmouth) — Portsmouth
Rochdale,Spotland Stadium,Rochdale,10500,2018–19,3,England,https://en.wikipedia.org/wiki/2018–19_EFL_League_One,10500,Rochdale,"Spotland Stadium, Rochdale, England",Spotland Stadium (Rochdale) — Rochdale
Scunthorpe United,Glanford Park,Scunthorpe,9088,2018–19,3,England,https://en.wikipedia.org/wiki/2018–19_EFL_League_One,9088,Scunthorpe,"Glanford Park, Scunthorpe, England",Glanford Park (Scunthorpe United) — Scunthorpe
Shrewsbury Town,New Meadow,Shrewsbury,9875,2018–19,3,England,https://en.wikipedia.org/wiki/2018–19_EFL_League_One,9875,Shrewsbury,"New Meadow, Shrewsbury, England",New Meadow (Shrewsbury Town) — Shrewsbury
Southend United,Roots Hall,Southend-on-Sea,12392,2018–19,3,England,https://en.wikipedia.org/wiki/2018–19_EFL_League_One,12392,Southend-on-Sea,"Roots Hall, Southend-on-Sea, England",Roots Hall (Southend United) — Southend-on-Sea
Sunderland,Stadium of Light,Sunderland,48707,2018–19,3,England,https://en.wikipedia.org/wiki/2018–19_EFL_League_One,48707,Sunderland,"Stadium of Light, Sunderland, England",Stadium of Light (Sunderland) — Sunderland
Walsall,Bescot Stadium,Walsall,11300,2018–19,3,England,https://en.wikipedia.org/wiki/2018–19_EFL_League_One,11300,Walsall,"Bescot Stadium, Walsall, England",Bescot Stadium (Walsall) — Walsall
Wycombe Wanderers,Adams Park,High Wycombe,10137,2018–19,3,England,https://en.wikipedia.org/wiki/2018–19_EFL_League_One,10137,High Wycombe,"Adams Park, High Wycombe, England",Adams Park (Wycombe Wanderers) — High Wycombe
Accrington Stanley,Crown Ground,Accrington,5057,2019–20,3,England,https://en.wikipedia.org/wiki/2019–20_EFL_League_One,5057,Accrington,"Crown Ground, Accrington, England",Crown Ground (Accrington Stanley) — Accrington
AFC Wimbledon,Kingsmeadow,London (Kingston upon Thames),4850,2019–20,3,England,https://en.wikipedia.org/wiki/2019–20_EFL_League_One,4850,London (Kingston upon Thames),"Kingsmeadow, London (Kingston upon Thames), England",Kingsmeadow (AFC Wimbledon) — London (Kingston upon Thames)
Blackpool,Bloomfield Road,Blackpool,17338,2019–20,3,England,https://en.wikipedia.org/wiki/2019–20_EFL_League_One,17338,Blackpool,"Bloomfield Road, Blackpool, England",Bloomfield Road (Blackpool) — Blackpool
Bolton Wanderers,University of Bolton Stadium,Horwich,28723,2019–20,3,England,https://en.wikipedia.org/wiki/2019–20_EFL_League_One,28723,Horwich,"University of Bolton Stadium, Horwich, England",University of Bolton Stadium (Bolton Wanderers) — Horwich
Bristol Rovers,Memorial Stadium,Bristol,12300,2019–20,3,England,https://en.wikipedia.org/wiki/2019–20_EFL_League_One,12300,Bristol,"Memorial Stadium, Bristol, England",Memorial Stadium (Bristol Rovers) — Bristol
Burton Albion,Pirelli Stadium,Burton upon Trent,6912,2019–20,3,England,https://en.wikipedia.org/wiki/2019–20_EFL_League_One,6912,Burton upon Trent,"Pirelli Stadium, Burton upon Trent, England",Pirelli Stadium (Burton Albion) — Burton upon Trent
Coventry City,St Andrew's,Birmingham,29409,2019–20,3,England,https://en.wikipedia.org/wiki/2019–20_EFL_League_One,29409,Birmingham,"St Andrew's, Birmingham, England",St Andrew's (Coventry City) — Birmingham
