Player,Season,Age,Nation,Team,Comp,Pos,PKatt,PK,PKm,Conversion%,conversion_rate
Ivan Šaponjić,2020-2021,22.0,rs SRB,2 Teams,La Liga,FW,1.0,1.0,0.0,100.0,1.0
Álvaro Vázquez,2014-2015,23.0,es ESP,Getafe,La Liga,FW,1.0,1.0,0.0,100.0,1.0
Álvaro Vázquez,2015-2016,24.0,es ESP,Getafe,La Liga,FW,1.0,1.0,0.0,100.0,1.0
Ivi,2017-2018,23.0,es ESP,Levante,La Liga,"MF,FW",1.0,1.0,0.0,100.0,1.0
Daniele Verde,2018-2019,22.0,it ITA,Valladolid,La Liga,"MF,FW",1.0,1.0,0.0,100.0,1.0
Lionel Messi,2009-2010,22.0,ar ARG,Barcelona,La Liga,"FW,MF",1.0,1.0,0.0,100.0,1.0
Juanpi,2018-2019,24.0,ve VEN,Huesca,La Liga,"MF,FW",1.0,1.0,0.0,100.0,1.0
Daniel Wass,2020-2021,31.0,dk DEN,Valencia,La Liga,"MF,DF",1.0,1.0,0.0,100.0,1.0
Aitor Larrazábal,2003-2004,32.0,es ESP,Athletic Club,La Liga,DF,1.0,1.0,0.0,100.0,1.0
Dani Güiza,2005-2006,24.0,es ESP,Getafe,La Liga,FW,1.0,1.0,0.0,100.0,1.0
Bebé,2023-2024,33.0,cv CPV,Rayo Vallecano,La Liga,"MF,FW",1.0,1.0,0.0,100.0,1.0
Diego Forlán,2004-2005,25.0,uy URU,Villarreal,La Liga,"FW,MF",1.0,1.0,0.0,100.0,1.0
Diego Forlán,2005-2006,26.0,uy URU,Villarreal,La Liga,"FW,MF",1.0,1.0,0.0,100.0,1.0
Diego Forlán,2006-2007,27.0,uy URU,Villarreal,La Liga,"FW,MF",1.0,1.0,0.0,100.0,1.0
Willian José,2022-2023,30.0,br BRA,Betis,La Liga,FW,1.0,1.0,0.0,100.0,1.0
Mark González,2007-2008,23.0,cl CHI,Betis,La Liga,"FW,MF",1.0,1.0,0.0,100.0,1.0
David Cubillo,2002-2003,24.0,es ESP,Recreativo,La Liga,MF,1.0,1.0,0.0,100.0,1.0
David Cubillo,2004-2005,26.0,es ESP,Getafe,La Liga,MF,1.0,1.0,0.0,100.0,1.0
Mikel Arteta,2004-2005,22.0,es ESP,Real Sociedad,La Liga,MF,1.0,1.0,0.0,100.0,1.0
David Barral,2010-2011,27.0,es ESP,Sporting Gijón,La Liga,FW,1.0,1.0,0.0,100.0,1.0
Yevhen Konoplyanka,2015-2016,25.0,ua UKR,Sevilla,La Liga,"FW,MF",1.0,1.0,0.0,100.0,1.0
Javier Farinós,2004-2005,26.0,es ESP,Mallorca,La Liga,MF,1.0,1.0,0.0,100.0,1.0
Javier Farinós,2011-2012,33.0,es ESP,Levante,La Liga,MF,1.0,1.0,0.0,100.0,1.0
Valentín Castellanos,2022-2023,23.0,ar ARG,Girona,La Liga,FW,1.0,1.0,0.0,100.0,1.0
Adri Embarba,2023-2024,31.0,es ESP,Almería,La Liga,"FW,MF",1.0,1.0,0.0,100.0,1.0
Adri Embarba,2022-2023,30.0,es ESP,2 Teams,La Liga,"FW,MF",1.0,1.0,0.0,100.0,1.0
Adri Embarba,2019-2020,27.0,es ESP,Espanyol,La Liga,"MF,FW",1.0,1.0,0.0,100.0,1.0
Xabi Alonso,2009-2010,27.0,es ESP,Real Madrid,La Liga,MF,1.0,1.0,0.0,100.0,1.0
Álex Berenguer,2023-2024,28.0,es ESP,Athletic Club,La Liga,FW,1.0,1.0,0.0,100.0,1.0
Yannick Carrasco,2022-2023,28.0,be BEL,Atlético Madrid,La Liga,"DF,MF",1.0,1.0,0.0,100.0,1.0
Jérémy Perbet,2013-2014,28.0,fr FRA,Villarreal,La Liga,FW,1.0,1.0,0.0,100.0,1.0
Carlos Fernández,2023-2024,27.0,es ESP,Real Sociedad,La Liga,FW,1.0,1.0,0.0,100.0,1.0
Carlos Fernández,2019-2020,23.0,es ESP,Granada,La Liga,"FW,MF",1.0,1.0,0.0,100.0,1.0
Carlos Vela,2014-2015,25.0,mx MEX,Real Sociedad,La Liga,"FW,MF",1.0,1.0,0.0,100.0,1.0
Gastón Sangoy,2011-2012,26.0,ar ARG,Sporting Gijón,La Liga,"FW,MF",1.0,1.0,0.0,100.0,1.0
Álvaro Novo,2006-2007,28.0,es ESP,Real Sociedad,La Liga,MF,1.0,1.0,0.0,100.0,1.0
Moisés,2002-2003,31.0,es ESP,Sevilla,La Liga,FW,1.0,1.0,0.0,100.0,1.0
Vladimir Beschastnykh,2000-2001,26.0,ru RUS,Racing Sant,La Liga,"FW,MF",1.0,1.0,0.0,100.0,1.0
Diego Tristán,2003-2004,27.0,es ESP,La Coruña,La Liga,FW,1.0,1.0,0.0,100.0,1.0
Cyle Larin,2024-2025,29.0,ca CAN,Mallorca,La Liga,FW,1.0,1.0,0.0,100.0,1.0
Kenan Kodro,2020-2021,26.0,ba BIH,2 Teams,La Liga,"FW,MF",1.0,1.0,0.0,100.0,1.0
Kiké,2022-2023,32.0,es ESP,Osasuna,La Liga,FW,1.0,1.0,0.0,100.0,1.0
Kiké,2021-2022,31.0,es ESP,Osasuna,La Liga,FW,1.0,1.0,0.0,100.0,1.0
Alexander Sørloth,2024-2025,28.0,no NOR,Atlético Madrid,La Liga,FW,1.0,1.0,0.0,100.0,1.0
Ayoze García,2010-2011,24.0,es ESP,Sporting Gijón,La Liga,"DF,MF",1.0,1.0,0.0,100.0,1.0
Ayoze García,2009-2010,23.0,es ESP,Tenerife,La Liga,"DF,MF",1.0,1.0,0.0,100.0,1.0
Luís Fabiano,2009-2010,28.0,br BRA,Sevilla,La Liga,FW,1.0,1.0,0.0,100.0,1.0
Fidel,2021-2022,31.0,es ESP,Elche,La Liga,MF,1.0,1.0,0.0,100.0,1.0
Fidel,2022-2023,32.0,es ESP,Elche,La Liga,"MF,FW",1.0,1.0,0.0,100.0,1.0
Darwin Machís,2023-2024,30.0,ve VEN,Cádiz,La Liga,MF,1.0,1.0,0.0,100.0,1.0
Darwin Machís,2019-2020,26.0,ve VEN,Granada,La Liga,"FW,MF",1.0,1.0,0.0,100.0,1.0
Agustín Aranzábal,2000-2001,27.0,es ESP,Real Sociedad,La Liga,DF,1.0,1.0,0.0,100.0,1.0
Luis Javier Suárez,2023-2024,25.0,co COL,Almería,La Liga,FW,1.0,1.0,0.0,100.0,1.0
Andrés Guardado,2007-2008,20.0,mx MEX,La Coruña,La Liga,"DF,FW",1.0,1.0,0.0,100.0,1.0
Andrés Guardado,2017-2018,30.0,mx MEX,Betis,La Liga,MF,1.0,1.0,0.0,100.0,1.0
Arnaut Danjuma,2022-2023,25.0,nl NED,Villarreal,La Liga,FW,1.0,1.0,0.0,100.0,1.0
Constantin Barbu,1999-2000,28.0,ro ROU,Numancia,La Liga,MF,1.0,1.0,0.0,100.0,1.0
Gheorghe Craioveanu,2000-2001,32.0,ro ROU,Villarreal,La Liga,FW,1.0,1.0,0.0,100.0,1.0
Pablo Sanz Iniesta,2000-2001,26.0,es ESP,Rayo Vallecano,La Liga,MF,1.0,1.0,0.0,100.0,1.0
Fede Vico,2019-2020,25.0,es ESP,Granada,La Liga,"MF,FW",1.0,1.0,0.0,100.0,1.0
Hugo Guillamón,2022-2023,22.0,es ESP,Valencia,La Liga,MF,1.0,1.0,0.0,100.0,1.0
Enes Ünal,2020-2021,23.0,tr TUR,Getafe,La Liga,FW,1.0,1.0,0.0,100.0,1.0
Verza,2015-2016,28.0,es ESP,Levante,La Liga,MF,1.0,1.0,0.0,100.0,1.0
Éver Banega,2015-2016,27.0,ar ARG,Sevilla,La Liga,MF,1.0,1.0,0.0,100.0,1.0
Souleymane Oularé,2000-2001,27.0,gn GUI,Las Palmas,La Liga,FW,1.0,1.0,0.0,100.0,1.0
Óscar Trejo,2018-2019,30.0,ar ARG,Rayo Vallecano,La Liga,"MF,FW",1.0,1.0,0.0,100.0,1.0
Edu Albácar,2014-2015,34.0,es ESP,Elche,La Liga,DF,1.0,1.0,0.0,100.0,1.0
Giuseppe Rossi,2015-2016,28.0,it ITA,Levante,La Liga,FW,1.0,1.0,0.0,100.0,1.0
Gerardo Rivero,2002-2003,27.0,ar ARG,Osasuna,La Liga,MF,1.0,1.0,0.0,100.0,1.0
Carlos Soler,2022-2023,25.0,es ESP,Valencia,La Liga,MF,1.0,1.0,0.0,100.0,1.0
Teddy Sheringham,1997-1998,31.0,eng ENG,Manchester Utd,EPL,FW,3.0,0.0,3.0,0.0,0.0
Juan Pablo Ángel,2004-2005,28.0,co COL,Aston Villa,EPL,FW,3.0,0.0,3.0,0.0,0.0
Wilfried Zaha,2022-2023,29.0,ci CIV,Crystal Palace,EPL,"FW,MF",2.0,0.0,2.0,0.0,0.0
Stewart Downing,2008-2009,24.0,eng ENG,Middlesbrough,EPL,"FW,MF",2.0,0.0,2.0,0.0,0.0
Saido Berahino,2015-2016,21.0,bi BDI,West Brom,EPL,"FW,MF",2.0,0.0,2.0,0.0,0.0
Raheem Sterling,2019-2020,24.0,eng ENG,Manchester City,EPL,FW,2.0,0.0,2.0,0.0,0.0
Pierre-Emerick Aubameyang,2021-2022,32.0,ga GAB,Arsenal,EPL,FW,2.0,0.0,2.0,0.0,0.0
Patrick Bamford,2022-2023,28.0,eng ENG,Leeds United,EPL,FW,2.0,0.0,2.0,0.0,0.0
Lucas Neill,2006-2007,28.0,au AUS,2 Teams,EPL,DF,2.0,0.0,2.0,0.0,0.0
Juninho Paulista,1999-2000,26.0,br BRA,Middlesbrough,EPL,MF,2.0,0.0,2.0,0.0,0.0
Gareth Barry,2005-2006,24.0,eng ENG,Aston Villa,EPL,MF,2.0,0.0,2.0,0.0,0.0
Gabriel Jesus,2017-2018,20.0,br BRA,Manchester City,EPL,FW,2.0,0.0,2.0,0.0,0.0
Bruno Fernandes,2021-2022,26.0,pt POR,Manchester Utd,EPL,MF,2.0,0.0,2.0,0.0,0.0
Mesut Özil,2013-2014,24.0,de GER,Arsenal,CL,,2.0,0.0,2.0,0.0,0.0
Radamel Falcao,2016-2017,30.0,co COL,Monaco,CL,,2.0,0.0,2.0,0.0,0.0
Youri Tielemans,2024-2025,27.0,be BEL,Aston Villa,EPL,MF,1.0,0.0,1.0,0.0,0.0
Yohan Cabaye,2016-2017,30.0,fr FRA,Crystal Palace,EPL,MF,1.0,0.0,1.0,0.0,0.0
Yakubu Aiyegbeni,2009-2010,26.0,ng NGA,Everton,EPL,FW,1.0,0.0,1.0,0.0,0.0
Yakubu Aiyegbeni,2008-2009,25.0,ng NGA,Everton,EPL,FW,1.0,0.0,1.0,0.0,0.0
Xherdan Shaqiri,2017-2018,25.0,ch SUI,Stoke City,EPL,"MF,FW",1.0,0.0,1.0,0.0,0.0
Wilfried Bony,2015-2016,26.0,ci CIV,Manchester City,EPL,FW,1.0,0.0,1.0,0.0,0.0
Wesley Moraes,2019-2020,22.0,br BRA,Aston Villa,EPL,FW,1.0,0.0,1.0,0.0,0.0
Wayne Rooney,2007-2008,21.0,eng ENG,Manchester Utd,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Wayne Rooney,2004-2005,18.0,eng ENG,Manchester Utd,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Vinnie Jones,1996-1997,31.0,wls WAL,Wimbledon,EPL,MF,1.0,0.0,1.0,0.0,0.0
Tomáš Rosický,2010-2011,29.0,cz CZE,Arsenal,EPL,MF,1.0,0.0,1.0,0.0,0.0
Tom Cleverley,2017-2018,27.0,eng ENG,Watford,EPL,MF,1.0,0.0,1.0,0.0,0.0
Thierry Henry,2004-2005,26.0,fr FRA,Arsenal,EPL,FW,1.0,0.0,1.0,0.0,0.0
Theo Walcott,2016-2017,27.0,eng ENG,Arsenal,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Teddy Sheringham,1993-1994,27.0,eng ENG,Tottenham,EPL,FW,1.0,0.0,1.0,0.0,0.0
Stewart Downing,2011-2012,27.0,eng ENG,Liverpool,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Steven Gerrard,2004-2005,24.0,eng ENG,Liverpool,EPL,MF,1.0,0.0,1.0,0.0,0.0
Steve Sidwell,2013-2014,30.0,eng ENG,Fulham,EPL,MF,1.0,0.0,1.0,0.0,0.0
Stefano Eranio,1998-1999,31.0,it ITA,Derby County,EPL,MF,1.0,0.0,1.0,0.0,0.0
Stefan Schnoor,1999-2000,28.0,de GER,Derby County,EPL,DF,1.0,0.0,1.0,0.0,0.0
Steed Malbranque,2010-2011,30.0,fr FRA,Sunderland,EPL,MF,1.0,0.0,1.0,0.0,0.0
Son Heung-min,2019-2020,27.0,kr KOR,Tottenham,EPL,FW,1.0,0.0,1.0,0.0,0.0
Shane Long,2016-2017,29.0,ie IRL,Southampton,EPL,FW,1.0,0.0,1.0,0.0,0.0
Shane Long,2012-2013,25.0,ie IRL,West Brom,EPL,FW,1.0,0.0,1.0,0.0,0.0
Sergio Agüero,2013-2014,25.0,ar ARG,Manchester City,EPL,FW,1.0,0.0,1.0,0.0,0.0
Sebastian Larsson,2011-2012,26.0,se SWE,Sunderland,EPL,MF,1.0,0.0,1.0,0.0,0.0
Scott Dann,2011-2012,24.0,eng ENG,Blackburn,EPL,DF,1.0,0.0,1.0,0.0,0.0
Scott Arfield,2014-2015,25.0,ca CAN,Burnley,EPL,MF,1.0,0.0,1.0,0.0,0.0
Santi Cazorla,2015-2016,30.0,es ESP,Arsenal,EPL,MF,1.0,0.0,1.0,0.0,0.0
Saido Berahino,2017-2018,23.0,bi BDI,Stoke City,EPL,FW,1.0,0.0,1.0,0.0,0.0
Sadio Mané,2015-2016,23.0,sn SEN,Southampton,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Saïd Benrahma,2023-2024,27.0,dz ALG,West Ham,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Ryan Taylor,2007-2008,22.0,eng ENG,Wigan Athletic,EPL,"DF,MF",1.0,0.0,1.0,0.0,0.0
Ross Barkley,2014-2015,20.0,eng ENG,Everton,EPL,MF,1.0,0.0,1.0,0.0,0.0
Romelu Lukaku,2017-2018,24.0,be BEL,Manchester Utd,EPL,FW,1.0,0.0,1.0,0.0,0.0
Rod Wallace,1993-1994,23.0,eng ENG,Leeds United,EPL,FW,1.0,0.0,1.0,0.0,0.0
Roberto Soldado,2014-2015,29.0,es ESP,Tottenham,EPL,FW,1.0,0.0,1.0,0.0,0.0
Robert Snodgrass,2013-2014,25.0,sct SCO,Norwich City,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Robert Hulse,2006-2007,26.0,eng ENG,Sheffield Utd,EPL,FW,1.0,0.0,1.0,0.0,0.0
Robbie Fowler,2001-2002,26.0,eng ENG,2 Teams,EPL,FW,1.0,0.0,1.0,0.0,0.0
Riyad Mahrez,2018-2019,27.0,dz ALG,Manchester City,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Raheem Sterling,2020-2021,25.0,eng ENG,Manchester City,EPL,FW,1.0,0.0,1.0,0.0,0.0
Peter Odemwingie,2011-2012,30.0,ng NGA,West Brom,EPL,FW,1.0,0.0,1.0,0.0,0.0
Peter Ndlovu,1995-1996,22.0,zw ZIM,Coventry City,EPL,FW,1.0,0.0,1.0,0.0,0.0
Peter Crouch,2005-2006,24.0,eng ENG,Liverpool,EPL,FW,1.0,0.0,1.0,0.0,0.0
Per Frandsen,2001-2002,31.0,dk DEN,Bolton,EPL,MF,1.0,0.0,1.0,0.0,0.0
Paul Scholes,2000-2001,25.0,eng ENG,Manchester Utd,EPL,MF,1.0,0.0,1.0,0.0,0.0
Paul Pogba,2019-2020,26.0,fr FRA,Manchester Utd,EPL,MF,1.0,0.0,1.0,0.0,0.0
Paul Mortimer,1998-1999,30.0,eng ENG,Charlton Ath,EPL,MF,1.0,0.0,1.0,0.0,0.0
Paul Merson,1998-1999,30.0,eng ENG,2 Teams,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Paul Merson,1999-2000,31.0,eng ENG,Aston Villa,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Patrick Vieira,2001-2002,25.0,fr FRA,Arsenal,EPL,MF,1.0,0.0,1.0,0.0,0.0
Pascal Groß,2021-2022,30.0,de GER,Brighton,EPL,"MF,DF",1.0,0.0,1.0,0.0,0.0
Papiss Cissé,2012-2013,27.0,sn SEN,Newcastle Utd,EPL,FW,1.0,0.0,1.0,0.0,0.0
Obafemi Martins,2008-2009,23.0,ng NGA,Newcastle Utd,EPL,FW,1.0,0.0,1.0,0.0,0.0
Nwankwo Kanu,2006-2007,29.0,ng NGA,Portsmouth,EPL,FW,1.0,0.0,1.0,0.0,0.0
Nwankwo Kanu,2007-2008,30.0,ng NGA,Portsmouth,EPL,FW,1.0,0.0,1.0,0.0,0.0
Niko Kranjčar,2007-2008,22.0,hr CRO,Portsmouth,EPL,MF,1.0,0.0,1.0,0.0,0.0
Nikica Jelavić,2013-2014,27.0,hr CRO,2 Teams,EPL,FW,1.0,0.0,1.0,0.0,0.0
Nicky Shorey,2007-2008,26.0,eng ENG,Reading,EPL,"DF,MF",1.0,0.0,1.0,0.0,0.0
Nick Barmby,1995-1996,21.0,eng ENG,Middlesbrough,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Nelson Vivas,2000-2001,30.0,ar ARG,Arsenal,EPL,DF,1.0,0.0,1.0,0.0,0.0
Neil Redfearn,1998-1999,33.0,eng ENG,Charlton Ath,EPL,MF,1.0,0.0,1.0,0.0,0.0
Nani,2010-2011,23.0,pt POR,Manchester Utd,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Morten Gamst Pedersen,2010-2011,28.0,no NOR,Blackburn,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Milan Baroš,2005-2006,23.0,cz CZE,2 Teams,EPL,FW,1.0,0.0,1.0,0.0,0.0
Mikel Arteta,2010-2011,28.0,es ESP,Everton,EPL,MF,1.0,0.0,1.0,0.0,0.0
Mike Newell,1992-1993,27.0,eng ENG,Blackburn,EPL,FW,1.0,0.0,1.0,0.0,0.0
Mido,2009-2010,26.0,eg EGY,West Ham,EPL,FW,1.0,0.0,1.0,0.0,0.0
Micky Quinn,1993-1994,31.0,eng ENG,Coventry City,EPL,FW,1.0,0.0,1.0,0.0,0.0
Michail Antonio,2021-2022,31.0,jm JAM,West Ham,EPL,FW,1.0,0.0,1.0,0.0,0.0
Michael Carrick,2009-2010,28.0,eng ENG,Manchester Utd,EPL,MF,1.0,0.0,1.0,0.0,0.0
Maxwel Cornet,2021-2022,24.0,ci CIV,Burnley,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Mauro Formica,2011-2012,23.0,ar ARG,Blackburn,EPL,MF,1.0,0.0,1.0,0.0,0.0
Mauro Boselli,2010-2011,25.0,ar ARG,Wigan Athletic,EPL,FW,1.0,0.0,1.0,0.0,0.0
Matt Ritchie,2019-2020,29.0,sct SCO,Newcastle Utd,EPL,"DF,MF",1.0,0.0,1.0,0.0,0.0
Marlon Harewood,2006-2007,26.0,eng ENG,West Ham,EPL,FW,1.0,0.0,1.0,0.0,0.0
Marko Arnautović,2016-2017,27.0,at AUT,Stoke City,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Marc Overmars,1999-2000,26.0,nl NED,Arsenal,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Manuel Lanzini,2017-2018,24.0,ar ARG,West Ham,EPL,"MF,FW",1.0,0.0,1.0,0.0,0.0
Manolo Gabbiadini,2016-2017,24.0,it ITA,Southampton,EPL,FW,1.0,0.0,1.0,0.0,0.0
Malcolm Christie,2003-2004,24.0,eng ENG,Middlesbrough,EPL,FW,1.0,0.0,1.0,0.0,0.0
Luis Suárez,2011-2012,24.0,uy URU,Liverpool,EPL,FW,1.0,0.0,1.0,0.0,0.0
Lucas Piazon,2012-2013,18.0,br BRA,Chelsea,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Luís Boa Morte,2001-2002,23.0,pt POR,Fulham,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Loïc Rémy,2013-2014,26.0,fr FRA,Newcastle Utd,EPL,FW,1.0,0.0,1.0,0.0,0.0
Les Ferdinand,1997-1998,30.0,eng ENG,Tottenham,EPL,FW,1.0,0.0,1.0,0.0,0.0
Les Ferdinand,1994-1995,27.0,eng ENG,QPR,EPL,FW,1.0,0.0,1.0,0.0,0.0
Lauren,2005-2006,28.0,cm CMR,Arsenal,EPL,DF,1.0,0.0,1.0,0.0,0.0
Khalilou Fadiga,2005-2006,30.0,sn SEN,Bolton,EPL,MF,1.0,0.0,1.0,0.0,0.0
Kevin Nolan,2008-2009,26.0,eng ENG,2 Teams,EPL,MF,1.0,0.0,1.0,0.0,0.0
Kevin Mirallas,2014-2015,26.0,be BEL,Everton,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Kevin Gallen,1995-1996,19.0,eng ENG,QPR,EPL,FW,1.0,0.0,1.0,0.0,0.0
Kevin Gallacher,1998-1999,31.0,sct SCO,Blackburn,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Kevin Doyle,2011-2012,27.0,ie IRL,Wolves,EPL,FW,1.0,0.0,1.0,0.0,0.0
Kevin Doyle,2007-2008,23.0,ie IRL,Reading,EPL,FW,1.0,0.0,1.0,0.0,0.0
Kevin De Bruyne,2016-2017,25.0,be BEL,Manchester City,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Kevin Davies,2011-2012,34.0,eng ENG,Bolton,EPL,FW,1.0,0.0,1.0,0.0,0.0
Kevin Campbell,1993-1994,23.0,eng ENG,Arsenal,EPL,FW,1.0,0.0,1.0,0.0,0.0
Kenedy,2018-2019,22.0,br BRA,Newcastle Utd,EPL,"MF,DF",1.0,0.0,1.0,0.0,0.0
Kelechi Iheanacho,2020-2021,23.0,ng NGA,Leicester City,EPL,FW,1.0,0.0,1.0,0.0,0.0
Keith Curle,1995-1996,31.0,eng ENG,Manchester City,EPL,DF,1.0,0.0,1.0,0.0,0.0
Junior Hoilett,2011-2012,21.0,ca CAN,Blackburn,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Juninho Paulista,2002-2003,29.0,br BRA,Middlesbrough,EPL,MF,1.0,0.0,1.0,0.0,0.0
Joseph-Désiré Job,2003-2004,25.0,cm CMR,Middlesbrough,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Joselu,2017-2018,27.0,es ESP,Newcastle Utd,EPL,FW,1.0,0.0,1.0,0.0,0.0
Jonathan Greening,2001-2002,22.0,eng ENG,Middlesbrough,EPL,MF,1.0,0.0,1.0,0.0,0.0
John Utaka,2008-2009,26.0,ng NGA,Portsmouth,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
John Lundstram,2020-2021,26.0,eng ENG,Sheffield Utd,EPL,MF,1.0,0.0,1.0,0.0,0.0
John Collins,1998-1999,30.0,sct SCO,Everton,EPL,MF,1.0,0.0,1.0,0.0,0.0
John Carew,2010-2011,30.0,no NOR,2 Teams,EPL,FW,1.0,0.0,1.0,0.0,0.0
Joe Willock,2020-2021,20.0,eng ENG,2 Teams,EPL,MF,1.0,0.0,1.0,0.0,0.0
Joe Ralls,2018-2019,24.0,eng ENG,Cardiff City,EPL,MF,1.0,0.0,1.0,0.0,0.0
Jermain Defoe,2005-2006,22.0,eng ENG,Tottenham,EPL,FW,1.0,0.0,1.0,0.0,0.0
Jeff Kenna,1998-1999,27.0,ie IRL,Blackburn,EPL,DF,1.0,0.0,1.0,0.0,0.0
Jay-Jay Okocha,2005-2006,31.0,ng NGA,Bolton,EPL,MF,1.0,0.0,1.0,0.0,0.0
Javier Hernández,2012-2013,24.0,mx MEX,Manchester Utd,EPL,FW,1.0,0.0,1.0,0.0,0.0
Jason Roberts,2006-2007,28.0,gd GRN,Blackburn,EPL,FW,1.0,0.0,1.0,0.0,0.0
Jason Roberts,2008-2009,30.0,gd GRN,Blackburn,EPL,FW,1.0,0.0,1.0,0.0,0.0
Jari Litmanen,2001-2002,30.0,fi FIN,Liverpool,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Jamie Vardy,2022-2023,35.0,eng ENG,Leicester City,EPL,FW,1.0,0.0,1.0,0.0,0.0
Jamie O'Hara,2009-2010,22.0,eng ENG,2 Teams,EPL,MF,1.0,0.0,1.0,0.0,0.0
James Morrison,2015-2016,29.0,sct SCO,West Brom,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
James McArthur,2014-2015,26.0,sct SCO,Crystal Palace,EPL,MF,1.0,0.0,1.0,0.0,0.0
James Beattie,2005-2006,27.0,eng ENG,Everton,EPL,FW,1.0,0.0,1.0,0.0,0.0
Jack Grealish,2019-2020,23.0,eng ENG,Aston Villa,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Ismaila Sarr,2021-2022,23.0,sn SEN,Watford,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Ionel Ganea,2003-2004,29.0,ro ROU,Wolves,EPL,FW,1.0,0.0,1.0,0.0,0.0
Ibrahima Bakayoko,1998-1999,21.0,ci CIV,Everton,EPL,FW,1.0,0.0,1.0,0.0,0.0
Henri Camara,2003-2004,26.0,sn SEN,Wolves,EPL,FW,1.0,0.0,1.0,0.0,0.0
Harry Kewell,1999-2000,20.0,au AUS,Leeds United,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Harry Arter,2016-2017,26.0,ie IRL,Bournemouth,EPL,MF,1.0,0.0,1.0,0.0,0.0
Graham Stuart,2001-2002,30.0,eng ENG,Charlton Ath,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Graham Dorrans,2014-2015,27.0,sct SCO,West Brom,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Glenn Murray,2015-2016,31.0,eng ENG,2 Teams,EPL,FW,1.0,0.0,1.0,0.0,0.0
Geovanni,2009-2010,29.0,br BRA,Hull City,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Gavin McCann,2002-2003,24.0,eng ENG,Sunderland,EPL,MF,1.0,0.0,1.0,0.0,0.0
Gary McAllister,2001-2002,36.0,sct SCO,Liverpool,EPL,MF,1.0,0.0,1.0,0.0,0.0
Gabriel Jesus,2019-2020,22.0,br BRA,Manchester City,EPL,FW,1.0,0.0,1.0,0.0,0.0
Frédéric Kanouté,2002-2003,24.0,ml MLI,West Ham,EPL,FW,1.0,0.0,1.0,0.0,0.0
Evanilson,2024-2025,24.0,br BRA,Bournemouth,EPL,FW,1.0,0.0,1.0,0.0,0.0
El Hadji Diouf,2008-2009,27.0,sn SEN,2 Teams,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Edin Džeko,2012-2013,26.0,ba BIH,Manchester City,EPL,FW,1.0,0.0,1.0,0.0,0.0
Dwight Yorke,1998-1999,26.0,tt TRI,2 Teams,EPL,"FW,MF",1.0,0.0,1.0,0.0,0.0
Duncan Ferguson,1994-1995,22.0,sct SCO,Everton,EPL,FW,1.0,0.0,1.0,0.0,0.0
Djibril Cissé,2012-2013,30.0,fr FRA,QPR,EPL,FW,1.0,0.0,1.0,0.0,0.0
Diomansy Kamara,2005-2006,24.0,sn SEN,West Brom,EPL,FW,1.0,0.0,1.0,0.0,0.0
Diego Costa,2016-2017,27.0,es ESP,Chelsea,EPL,FW,1.0,0.0,1.0,0.0,0.0
Deon Burton,2001-2002,24.0,jm JAM,Derby County,EPL,FW,1.0,0.0,1.0,0.0,0.0
Denny Landzaat,2006-2007,30.0,nl NED,Wigan Athletic,EPL,MF,1.0,0.0,1.0,0.0,0.0
Demarai Gray,2019-2020,23.0,jm JAM,Leicester City,EPL,"MF,FW",1.0,0.0,1.0,0.0,0.0
